iter	RMSE
0	7.90257751
1	6.6171156
2	5.704821905
3	5.075992011
4	4.653593531
5	4.325186443
6	4.051753033
7	3.847816437
8	3.660330524
9	3.554021476
10	3.417262384
11	3.357319711
12	3.288916056
13	3.253472202
14	3.219515946
15	3.175457254
16	3.153736782
17	3.112973021
18	3.091976769
19	3.061143504
20	3.034795475
21	3.002371623
22	2.977013899
23	2.943453749
24	2.927445474
25	2.905004753
26	2.883728376
27	2.868086066
28	2.83547162
29	2.783642218
30	2.770716363
31	2.767031418
32	2.732008962
33	2.705243793
34	2.686126073
35	2.669116408
36	2.651067511
37	2.629587651
38	2.621456302
39	2.615846087
40	2.607922551
41	2.586406543
42	2.557395875
43	2.542057033
44	2.534973493
45	2.517289642
46	2.507958752
47	2.490256099
48	2.480643503
49	2.472640874
50	2.456116256
51	2.432326419
52	2.421633163
53	2.415471444
54	2.395079651
55	2.380152462
56	2.365964795
57	2.345274203
58	2.340959322
59	2.329799758
60	2.315045743
61	2.306354444
62	2.291754663
63	2.286940479
64	2.286938498
65	2.278523168
66	2.272513097
67	2.266123791
68	2.255966314
69	2.250723433
70	2.245501177
71	2.232342105
72	2.225095795
73	2.212727472
74	2.200318659
75	2.190896738
76	2.185301029
77	2.183692774
78	2.177971533
79	2.167379399
80	2.161644802
81	2.156379786
82	2.145551265
83	2.139159204
84	2.139126722
85	2.134165457
86	2.129012586
87	2.127588117
88	2.126361924
89	2.119754561
90	2.118098563
91	2.116589861
92	2.116379108
93	2.116261582
94	2.109106364
95	2.10459991
96	2.096060104
97	2.087368393
98	2.085171348
99	2.0818062
