iter	Passed	Remaining
0	1	108
1	1	80
2	2	79
3	3	85
4	4	83
5	4	77
6	5	71
7	5	68
8	6	66
9	7	63
10	7	60
11	7	57
12	8	56
13	9	56
14	9	54
15	10	53
16	10	51
17	11	50
18	11	49
19	12	48
20	12	46
21	12	45
22	13	44
23	13	43
24	14	42
25	14	41
26	15	40
27	15	40
28	16	39
29	17	40
30	19	43
31	20	43
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	25	41
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	36
45	31	36
46	32	36
47	33	36
48	34	36
49	35	35
50	37	35
51	37	35
52	39	34
53	40	34
54	41	33
55	41	32
56	42	31
57	42	30
58	43	30
59	43	29
60	44	28
61	44	27
62	44	26
63	45	25
64	46	25
65	47	24
66	48	24
67	49	23
68	49	22
69	50	21
70	51	21
71	51	20
72	52	19
73	53	18
74	53	17
75	53	17
76	54	16
77	54	15
78	55	14
79	55	13
80	55	13
81	56	12
82	57	11
83	58	11
84	58	10
85	58	9
86	59	8
87	59	8
88	60	7
89	60	6
90	60	6
91	61	5
92	61	4
93	62	4
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	65	0
